iter	Passed	Remaining
411	4296	15539
412	4305	15521
413	4312	15501
414	4319	15478
415	4325	15450
416	4332	15429
417	4339	15406
418	4344	15376
419	4351	15356
420	4371	15379
421	4385	15381
422	4395	15370
423	4411	15378
424	4423	15373
425	4443	15397
426	4459	15404
427	4475	15411
428	4486	15404
429	4499	15404
430	4512	15401
431	4527	15404
432	4546	15423
433	4556	15411
434	4568	15405
435	4577	15391
436	4586	15375
437	4594	15355
438	4600	15332
439	4606	15307
440	4613	15284
441	4619	15258
442	4625	15234
443	4632	15211
444	4638	15187
445	4645	15164
446	4651	15140
447	4663	15134
448	4676	15134
449	4693	15142
450	4719	15184
451	4732	15182
452	4747	15186
453	4756	15169
454	4771	15173
455	4784	15170
456	4791	15150
457	4804	15148
458	4823	15163
459	4838	15168
460	4855	15176
461	4867	15172
462	4878	15161
463	4888	15149
464	4897	15134
465	4904	15114
466	4912	15095
467	4921	15078
468	4926	15053
469	4933	15031
470	4940	15009
471	4946	14986
472	4957	14975
473	4974	14987
474	4989	14990
475	5000	14979
476	5008	14963
477	5015	14941
478	5036	14963
479	5044	14944
480	5065	14966
481	5074	14950
482	5081	14928
483	5088	14907
484	5096	14889
485	5108	14885
486	5117	14868
487	5129	14861
488	5141	14858
489	5151	14846
490	5160	14830
491	5167	14810
492	5176	14793
493	5186	14781
494	5215	14825
495	5231	14829
496	5239	14813
497	5245	14787
498	5256	14780
499	5268	14771
500	5281	14770
501	5293	14763
502	5303	14750
503	5311	14733
504	5319	14716
505	5326	14696
506	5345	14707
507	5354	14692
508	5360	14670
509	5368	14652
510	5376	14634
511	5382	14613
512	5389	14593
513	5396	14571
514	5405	14559
515	5418	14553
516	5431	14550
517	5457	14580
518	5465	14564
519	5473	14548
520	5481	14528
521	5490	14516
522	5502	14507
523	5515	14504
524	5524	14489
525	5531	14470
526	5547	14472
527	5563	14477
528	5577	14476
529	5591	14474
530	5605	14473
531	5618	14468
532	5628	14455
533	5637	14443
534	5644	14422
535	5652	14404
536	5659	14386
537	5667	14369
538	5672	14344
539	5679	14325
540	5686	14305
541	5709	14325
542	5721	14318
543	5731	14308
544	5744	14304
545	5757	14298
546	5775	14306
547	5788	14302
548	5794	14280
549	5802	14262
550	5808	14243
551	5817	14226
552	5821	14201
553	5832	14191
554	5843	14183
555	5855	14176
556	5865	14163
557	5875	14151
558	5892	14157
559	5908	14159
560	5918	14147
561	5925	14128
562	5934	14114
563	5941	14095
564	5957	14096
565	5970	14092
566	5987	14098
567	6004	14101
568	6016	14095
569	6039	14112
570	6052	14107
571	6070	14114
572	6085	14114
573	6110	14136
574	6123	14132
575	6140	14136
576	6156	14138
577	6176	14148
578	6193	14152
579	6206	14146
580	6221	14146
581	6239	14150
582	6253	14149
583	6269	14148
584	6278	14133
585	6292	14132
586	6305	14126
587	6318	14120
588	6344	14143
589	6361	14145
590	6377	14146
591	6392	14146
592	6407	14143
593	6421	14139
594	6431	14127
595	6447	14127
596	6462	14127
597	6480	14131
598	6493	14126
599	6500	14106
600	6510	14093
601	6541	14127
602	6562	14137
603	6578	14136
604	6595	14140
605	6610	14137
606	6623	14129
607	6637	14127
608	6661	14144
609	6678	14144
610	6698	14152
611	6715	14156
612	6730	14151
613	6743	14145
614	6757	14141
615	6774	14143
616	6792	14146
617	6809	14148
618	6823	14142
619	6839	14142
620	6857	14144
621	6875	14148
622	6892	14150
623	6910	14152
624	6921	14141
625	6928	14123
626	6936	14105
627	6944	14087
628	6960	14086
629	6975	14084
630	6984	14069
631	6995	14057
632	7004	14043
633	7012	14024
634	7019	14005
635	7026	13986
636	7033	13967
637	7038	13944
638	7046	13926
639	7054	13909
640	7061	13891
641	7069	13875
642	7076	13856
643	7083	13836
644	7092	13821
645	7105	13815
646	7119	13809
647	7132	13803
648	7156	13817
649	7168	13807
650	7176	13791
651	7183	13771
652	7193	13759
653	7200	13739
654	7206	13719
655	7213	13702
656	7220	13683
657	7247	13702
658	7265	13704
659	7277	13695
660	7292	13691
661	7300	13675
662	7309	13659
663	7317	13642
664	7322	13621
665	7330	13603
666	7337	13585
667	7344	13567
668	7351	13549
669	7359	13533
670	7366	13513
671	7375	13499
672	7380	13478
673	7389	13463
674	7392	13438
675	7399	13420
676	7407	13404
677	7414	13385
678	7421	13367
679	7436	13363
680	7445	13350
681	7456	13337
682	7463	13320
683	7470	13303
684	7478	13285
685	7485	13268
686	7492	13251
687	7497	13229
688	7504	13212
689	7513	13197
690	7521	13182
691	7528	13163
692	7534	13144
693	7539	13123
694	7546	13105
695	7553	13087
696	7560	13070
697	7567	13053
698	7577	13041
699	7589	13032
700	7597	13017
701	7604	12998
702	7612	12982
703	7620	12967
704	7626	12949
705	7634	12932
706	7640	12914
707	7648	12899
708	7655	12880
709	7662	12863
710	7668	12845
711	7675	12829
712	7689	12822
713	7702	12815
714	7724	12823
715	7736	12814
716	7747	12804
717	7763	12802
718	7772	12787
719	7780	12772
720	7787	12755
721	7794	12738
